Album,Tên bài hát,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
Dữ Liệu Quý (EP),Mất Kết Nối,582K,23.6M,Dương Domic,Dương Domic,"Việt Nam, V-Pop",DAO Music Entertainment
MULTIVERSE,Tái Sinh,744K,24.1M,Tùng Dương,Tăng Duy Tân,"Việt Nam, V-Pop",+84 Vietnam New Wave
Mộng Hoa Sim (Single),Mộng Hoa Sim,,,Thiên Tú,Thiên Tú,"Việt Nam, V-Pop",MIXUS
Anh Đau Từ Lúc Em Đi (Single),Anh Đau Từ Lúc Em Đi,501K,18.1M,Trần Mạnh Cường,Trần Mạnh Cường,"Việt Nam, V-Pop",Incom
Cảm Ơn Em (Single),Cảm Ơn Em,279K,10M,Đặng Thiên Chí,Đặng Thiên Chí,"Việt Nam, V-Pop",VIEENT Music
Ánh Mắt Biết Cười (Single),Ánh Mắt Biết Cười,103K,2.8M,"Quang Hùng MasterD, Tăng Duy Tân","Lê Quang Hùng, Tăng Duy Tân","Việt Nam, V-Pop",Euphoria Media Vietnam
E Là Không Thể (Single),E Là Không Thể,398K,16.2M,Anh Quân,Đông Thiên Đức,"Việt Nam, V-Pop",DAO Music Entertainment
Thủy Triều (Single),Thủy Triều,,,Quang Hùng MasterD,Quang Hùng MasterD,"Việt Nam, V-Pop",Euphoria Media Vietnam
Cô Phòng (EP),Cô Phòng,,,"Hồ Quang Hiếu, Huỳnh Văn",Huỳnh Văn,"Việt Nam, V-Pop",TECHBEAT Music
Tự Hào Màu Áo Lính (Single),Tự Hào Màu Áo Lính,,,Thái Học,Long Họ Huỳnh,"Việt Nam, V-Pop",MIXUS
Cạn Tình Như Thế (Single),Cạn Tình Như Thế,742K,51.4M,"DICKSON, Thành Đạt, Lê Chí Trung",Lê Chí Trung,"Việt Nam, V-Pop",MIXUS
Nơi Vực Nơi Trời (Remix) (Single),Nơi Vực Nơi Trời (Remix),552K,21M,Lê Bảo Bình,DC Tâm,"Việt Nam, Dance Việt",Incom
Hứa Đợi Nhưng Chẳng Tới (Single),Hứa Đợi Nhưng Chẳng Tới,616K,34.3M,"Lâm Tuấn, Vương Thiên Tuấn","Vương Thiên Tuấn, Hà Tùng Linh","Việt Nam, V-Pop",Euphoria Media Vietnam
Lao Tâm Khổ Tứ (Single),Lao Tâm Khổ Tứ,604K,33.1M,Thanh Hưng,Nguyễn Thanh Hưng,"Việt Nam, V-Pop",LOOPS Music
Cắt Đôi Nỗi Sầu (Single),Cắt Đôi Nỗi Sầu,1.8M,122.8M,"Tăng Duy Tân, Drum7",Tăng Duy Tân,"Việt Nam, V-Pop",Euphoria Media Vietnam
Vừa Hận Vừa Yêu (Single),Vừa Hận Vừa Yêu,708K,36.4M,"Trung Tự, BFF",Trung Tự,"Việt Nam, V-Pop",VIVI ENM
Ngày Mai Người Ta Lấy Chồng (Single),Ngày Mai Người Ta Lấy…,1.9M,123.8M,Thành Đạt,,"Việt Nam, V-Pop",MIXUS
Nợ Nhau Một Lời (Single),Nợ Nhau Một Lời,267K,20.2M,Phúc Chinh,Phúc Chinh,"Việt Nam, V-Pop",MIXUS
Tự Em Sai (Single),Tự Em Sai,370K,23.2M,"Linh Hương Luz, IC Music","DC Tâm, IC Music, Nhạc Hoa Lời Việt","Việt Nam, V-Pop",Incom
Từng Ngày Như Mãi Mãi,Giờ Thì,111K,5M,buitruonglinh,buitruonglinh,"Việt Nam, V-Pop",LOOPS Music
Ải Hồng Nhan (Single),Ải Hồng Nhan,249K,8.6M,"Cần Vinh, Lee Ken","Cần Vinh, Lee Ken","Việt Nam, V-Pop",MIXUS
Dữ Liệu Quý (EP),Tràn Bộ Nhớ,176K,5.5M,Dương Domic,Dương Domic,"Việt Nam, V-Pop",DAO Music Entertainment
Mở Lối Cho Em (Lofi Version) (Single),Mở Lối Cho Em (Lofi Version),71K,2.8M,"Lương Quý Tuấn, Hữu Công",An Clock,"Việt Nam, V-Pop",Kind Music
Cô Dâu Của Người Ta (Single),Cô Dâu Của Người Ta,146K,6.4M,Khả Hiệp,Lâm Chu Min,"Việt Nam, V-Pop",MIXUS
Cẩm Tú Cầu (Single),Cẩm Tú Cầu,,,"RayO, Huỳnh Văn",Huỳnh Văn,"Việt Nam, V-Pop",VIEENT Music
Hoa Nở Bên Đường (Single),Hoa Nở Bên Đường,,,"Quang Đăng Trần, ACV",Đông Thiên Đức,"Việt Nam, V-Pop",ACV Entertainment
Chăm Em Một Đời (Single),Chăm Em Một Đời,18K,542K,Đức Phúc,Kai Đinh,"Việt Nam, V-Pop",Yin Yang Media
Vạn Sự Tùy Duyên (Single),Vạn Sự Tùy Duyên,329K,20M,Thanh Hưng,Thanh Hưng,"Việt Nam, V-Pop",Yin Yang Media
Trả Lại Thanh Xuân Cho Em (Single),Trả Lại Thanh Xuân Cho Em,201K,7.9M,H2K,,"Việt Nam, V-Pop",Euphoria Media Vietnam
Hôm Nay Anh Say (Single),Hôm Nay Anh Say,239K,15.7M,Khả Hiệp,Khả Hiệp,"Việt Nam, V-Pop",VIEENT Music
Đừng Hỏi Em Ổn Không (1988s Remix) (Single),Đừng Hỏi Em Ổn Không…,258K,11.6M,"Diệu Vân, H2K, 1988s",Jin Tuấn Nam,"Việt Nam, Dance Việt",MIXUS
,Nên Chờ Hay Nên Quên,354K,24.7M,Chu Thúy Quỳnh,Yan Nguyễn,"Việt Nam, V-Pop",MIXUS
Hóa Giải Bằng Nước Mắt (Single),Hóa Giải Bằng Nước Mắt,148K,8.3M,"Cao Thái Sơn, Lê Chí Trung",Lê Chí Trung,"Việt Nam, V-Pop",MIXUS
Anh Thôi Nhân Nhượng (Cover) (Single),Anh Thôi Nhân Nhượng…,659K,36.1M,Kiều Chi,An Clock,"Việt Nam, V-Pop",ZuongZero Entertainment
Anh Đau Từ Lúc Em Đi (Remix) (EP),Anh Đau Từ Lúc Em Đi…,162K,6.5M,Trần Mạnh Cường,Trần Mạnh Cường,"Việt Nam, Dance Việt",Incom
E Là Không Thể (Chốn Tìm Show),E Là Không Thể (Chốn Tìm…,81K,3.5M,Anh Quân,Đông Thiên Đức,"Việt Nam, V-Pop",MAIDAO
Nỗi Nhớ Vô Hạn (Single),Nỗi Nhớ Vô Hạn,111K,6.9M,"Thanh Hưng, ACV",Thanh Hưng,"Việt Nam, V-Pop",MIXUS
Nổi Gió Lên (Single),Nổi Gió Lên,316K,16.1M,Phan Như Thùy,Nhạc Hoa Lời Việt,"Việt Nam, V-Pop",VIEENT Music
Từng Ngày Như Mãi Mãi,Từng Ngày Yêu Em,49K,1.5M,buitruonglinh,buitruonglinh,"Việt Nam, V-Pop",LOOPS Music
Khu Vườn Tình,Say Sóng,115K,6.5M,"Tăng Duy Tân, Drum7, 2Pillz",Tăng Duy Tân,"Việt Nam, V-Pop",Euphoria Media Vietnam
